area_sqft,bedrooms,bathrooms,age_years,distance_to_center_km,has_garage,has_pool,neighborhood,condition,price
1629,4,3,33,8.2,0,1,downtown,excellent,264794
2000,1,2,29,18.9,1,0,downtown,excellent,303369
1202,1,2,12,21.5,0,1,suburban,good,166859
2949,5,2,12,5.8,0,0,downtown,poor,489348
3277,3,1,17,5.9,1,0,rural,good,524990
2079,3,1,31,2.1,0,0,rural,good,335021
661,5,2,31,22.4,1,0,downtown,excellent,73730
701,4,1,34,20.3,1,1,rural,poor,141588
2481,3,2,38,14.8,1,0,downtown,good,382375
1495,1,3,45,25.5,1,1,suburban,good,216364
2817,1,2,28,24.4,1,1,downtown,fair,424217
1315,2,3,48,18.0,0,0,suburban,excellent,145325
3842,3,1,28,26.2,0,1,rural,fair,566673
955,4,2,43,7.0,1,0,suburban,fair,146762
1775,5,1,15,4.2,1,0,rural,good,274296
1516,5,3,43,8.8,0,1,downtown,excellent,235452
2843,4,3,46,2.7,1,1,rural,poor,508503
3267,2,3,9,16.4,1,0,downtown,good,490964
837,5,1,29,28.2,1,1,downtown,poor,159124
1378,3,1,24,2.1,0,1,suburban,poor,227583
1576,2,1,38,4.5,0,1,suburban,excellent,219852
1291,3,1,19,14.1,1,0,suburban,fair,175419
2764,1,3,4,28.1,1,0,suburban,excellent,425916
1263,2,3,0,10.2,0,1,rural,poor,219932
2735,5,2,29,15.7,0,1,rural,good,420184
879,2,2,48,2.2,1,1,rural,poor,177250
992,2,1,2,5.3,1,1,downtown,good,200635
3612,2,3,44,29.6,0,1,rural,good,545747
1680,2,3,13,29.0,0,0,rural,excellent,253069
2562,3,3,29,1.1,0,1,rural,poor,425204
564,1,2,49,28.6,1,0,suburban,fair,22179
3068,4,2,3,19.5,0,1,rural,poor,468030
1867,2,3,17,26.2,1,0,downtown,poor,276755
1652,5,3,36,14.2,0,1,suburban,fair,258324
2527,2,3,24,16.0,0,0,downtown,excellent,354706
3195,5,2,47,15.2,0,1,rural,poor,502625
1995,3,3,0,20.3,0,0,suburban,poor,296676
3634,5,3,45,5.0,1,0,downtown,good,586255
1662,4,1,14,1.9,1,0,rural,poor,269130
2022,1,1,8,9.9,0,0,downtown,fair,289491
3140,5,2,14,21.4,1,0,downtown,good,461515
891,5,3,48,6.9,0,0,downtown,excellent,172253
2198,1,3,23,20.5,0,1,rural,good,351504
918,4,1,3,29.1,0,0,rural,fair,69676
2836,2,2,11,3.7,0,1,downtown,fair,442109
878,5,1,36,20.5,1,1,suburban,good,117969
2296,1,1,36,13.9,0,1,suburban,excellent,325799
2778,3,1,42,26.2,0,1,rural,good,393031
3565,1,1,5,6.1,1,1,rural,excellent,540057
2588,3,3,38,21.1,0,0,rural,good,355162
3599,4,3,45,25.3,0,0,rural,fair,499670
2682,2,1,23,28.4,0,0,rural,poor,360745
700,1,2,10,20.8,1,1,suburban,poor,117786
2363,5,2,12,15.4,0,0,rural,excellent,346615
1279,4,2,33,18.9,1,0,downtown,excellent,198686
3477,1,2,24,26.2,0,0,downtown,excellent,472016
3604,5,1,6,17.5,0,0,suburban,fair,531366
3619,1,3,3,1.9,1,0,downtown,good,615619
1002,3,2,7,28.0,0,1,suburban,fair,170009
2954,1,1,19,21.0,0,0,suburban,poor,382408
2251,1,2,28,20.6,1,1,downtown,excellent,360644
1304,1,2,44,7.3,1,1,rural,good,240027
2646,4,1,45,20.1,1,1,downtown,poor,383234
3231,1,3,9,12.4,1,1,downtown,poor,537525
2395,5,3,42,19.9,1,1,suburban,poor,421608
3273,3,1,33,4.1,0,0,downtown,fair,473399
2070,3,3,25,20.1,1,0,suburban,excellent,298449
1460,1,1,40,30.0,0,0,rural,poor,180353
3160,4,1,48,2.4,0,1,rural,excellent,508229
1985,4,1,2,29.3,0,0,rural,fair,277579
3190,5,3,5,12.8,1,0,downtown,poor,522211
1528,1,1,4,26.3,1,1,suburban,fair,231213
3789,3,2,4,23.7,0,1,rural,fair,544220
1002,4,3,46,17.4,1,1,suburban,excellent,201646
3314,1,3,22,22.4,1,1,suburban,poor,533091
897,4,3,48,26.5,1,0,rural,fair,121562
1370,4,3,8,12.7,1,1,rural,poor,255830
3342,3,2,34,10.5,0,1,suburban,excellent,490477
892,2,3,19,20.4,0,0,rural,fair,131585
706,5,3,48,24.4,1,0,suburban,excellent,118141
1538,5,1,41,23.1,0,1,suburban,poor,223956
2381,3,3,34,24.1,1,0,rural,poor,375237
3439,4,2,49,13.6,1,1,downtown,excellent,538268
1984,1,2,17,24.7,0,1,rural,good,295392
1363,4,2,16,4.5,0,0,downtown,fair,206256
3290,3,2,23,16.8,0,0,suburban,poor,483528
3812,5,3,2,1.2,1,1,suburban,poor,649312
1063,4,3,31,10.4,0,1,downtown,fair,197856
1520,5,2,34,11.6,1,1,suburban,excellent,263209
595,1,2,37,12.5,0,0,downtown,excellent,71520
2423,5,3,12,21.2,0,1,downtown,excellent,402970
2257,5,2,46,12.3,1,1,suburban,good,367414
3032,2,1,24,14.0,1,1,downtown,good,440468
3978,2,2,8,7.9,1,1,rural,poor,674491
2778,2,2,3,11.8,1,1,rural,excellent,480829
3296,5,1,13,7.6,1,0,suburban,fair,497454
2178,3,1,36,3.1,1,1,suburban,poor,381494
3742,5,3,33,18.5,1,1,downtown,fair,588340
1040,3,3,10,20.4,1,1,downtown,poor,191469
1559,3,1,40,19.0,0,1,downtown,good,232734
3072,2,1,2,14.4,1,0,downtown,poor,459711
1683,4,3,27,12.0,1,0,rural,good,263674
2222,1,2,28,26.0,0,0,rural,poor,280089
3814,2,1,8,16.1,1,1,suburban,excellent,572176
3657,2,3,2,14.9,0,1,downtown,fair,555513
2319,4,2,24,1.7,0,0,downtown,excellent,371906
3125,1,1,33,10.9,1,0,suburban,poor,450734
3229,5,2,11,12.0,0,0,downtown,poor,511691
3104,5,3,41,12.6,1,1,downtown,poor,541844
2097,2,1,8,17.8,0,1,downtown,good,302948
3560,1,2,14,16.5,0,0,downtown,fair,522588
3193,2,1,39,18.6,0,0,downtown,fair,458043
1295,3,2,24,23.2,1,0,suburban,poor,196090
1551,2,3,4,24.6,1,1,downtown,poor,252769
2143,2,3,10,21.8,0,1,suburban,good,343703
1863,5,1,33,28.7,0,1,downtown,excellent,274794
2481,5,2,23,1.5,1,0,rural,excellent,393496
1854,5,1,14,6.7,1,0,rural,fair,325883
2163,3,1,37,1.2,0,1,rural,good,371695
2029,5,2,7,19.8,0,0,rural,poor,288384
2538,1,2,4,27.0,1,1,suburban,fair,382258
3919,4,2,47,8.1,1,0,suburban,good,622216
1996,1,3,25,27.9,1,0,downtown,excellent,275913
3802,1,1,17,2.7,1,0,rural,good,609259
2737,5,1,5,28.1,1,0,suburban,excellent,448127
3796,4,3,36,11.2,0,1,downtown,good,584480
1908,4,2,47,3.9,1,0,downtown,fair,287679
1900,4,3,12,15.1,0,1,suburban,excellent,321276
1806,3,3,27,8.4,1,1,rural,fair,334431
3180,5,3,4,9.3,0,1,downtown,fair,521582
3175,4,1,12,9.9,1,0,rural,excellent,524915
1472,3,3,16,24.3,1,1,rural,excellent,214627
2268,2,1,49,16.6,0,1,rural,poor,344158
1782,2,1,39,10.0,0,1,downtown,poor,261482
3930,3,1,44,18.7,1,0,rural,poor,611287
1209,3,2,31,21.8,1,0,downtown,fair,214300
1979,5,1,28,8.9,1,1,rural,fair,323316
1934,5,1,2,13.0,1,0,downtown,poor,300508
1148,2,2,39,4.5,1,1,rural,fair,229691
817,4,1,33,6.3,0,1,suburban,fair,140307
3796,2,3,39,20.8,0,0,rural,excellent,549191
1757,4,3,26,6.3,1,1,rural,excellent,322657
1183,4,1,12,16.2,0,0,downtown,fair,131056
1163,5,2,44,21.6,0,0,downtown,poor,158773
2498,1,3,32,4.1,0,1,rural,good,392105
3945,1,2,5,17.5,1,0,suburban,poor,581387
2131,3,2,23,8.4,0,0,suburban,good,355822
1995,5,3,18,28.9,1,1,downtown,poor,294919
3804,4,2,15,15.0,0,1,suburban,excellent,608364
1636,1,3,39,24.4,1,0,rural,fair,223320
2353,4,2,27,17.0,0,0,downtown,fair,341254
2020,1,3,32,2.3,1,1,rural,excellent,368607
2989,1,1,47,19.4,1,0,downtown,good,430251
1063,1,3,40,28.6,0,0,downtown,good,130662
1791,5,3,12,18.4,1,0,downtown,good,311613
3957,2,3,42,24.8,1,0,downtown,excellent,573723
3958,4,3,44,26.6,1,0,suburban,good,574055
3684,5,2,24,7.6,1,0,rural,excellent,564496
2136,5,1,41,7.1,1,0,rural,poor,325391
3499,5,3,35,18.7,1,1,rural,poor,619931
3652,5,2,26,12.9,1,1,downtown,excellent,615093
1198,5,1,37,25.4,1,1,suburban,fair,158778
2660,3,1,6,27.1,0,1,rural,poor,359550
501,4,1,4,11.2,0,1,suburban,good,109187
1141,5,1,42,7.9,1,0,downtown,excellent,201695
2767,4,3,44,23.6,1,0,rural,good,424627
2089,3,3,30,9.0,0,0,suburban,good,320250
1354,3,2,22,24.9,0,0,downtown,fair,175190
2259,4,2,41,13.3,0,1,suburban,good,362507
3796,1,2,9,20.4,1,0,rural,fair,563617
2932,2,1,31,3.8,0,0,rural,poor,396513
3974,1,1,42,19.1,1,1,downtown,excellent,588704
2161,1,3,29,14.1,1,0,downtown,good,314221
1653,1,1,38,18.0,0,0,downtown,excellent,217054
1576,5,1,30,5.9,1,1,suburban,good,343305
2207,3,1,17,22.4,1,0,suburban,excellent,326499
3277,1,2,35,26.0,1,0,suburban,good,458779
2195,3,2,1,7.3,1,0,downtown,good,378786
2233,4,3,13,3.8,0,0,rural,good,377103
1939,2,1,12,1.7,0,0,rural,good,310251
2794,4,1,28,19.6,1,1,suburban,good,446637
1335,4,3,11,18.6,1,1,suburban,good,279880
702,5,1,38,16.9,0,1,rural,good,90482
3755,2,1,1,7.7,1,1,rural,good,610022
622,4,2,31,12.3,0,1,suburban,good,96872
900,4,3,12,18.2,1,1,suburban,excellent,185110
1266,2,3,45,15.4,1,0,rural,fair,176226
793,2,3,26,29.6,0,1,downtown,good,97602
2827,4,3,48,5.0,0,1,suburban,fair,457748
3431,2,2,40,21.2,0,0,rural,good,505766
697,4,2,16,12.7,0,0,rural,good,128719
3529,4,1,39,13.4,1,1,rural,excellent,528935
2430,5,1,30,21.8,0,0,rural,poor,345998
3299,1,1,33,21.1,1,1,downtown,poor,476558
2691,4,1,23,29.7,0,0,rural,excellent,340179
1108,3,2,44,4.7,0,1,suburban,fair,190259
3772,1,3,34,4.0,1,0,downtown,poor,585430
1647,1,2,47,22.0,0,0,rural,excellent,258484
686,1,1,5,17.8,0,1,downtown,excellent,107459
3897,5,2,18,9.0,0,1,suburban,poor,594597
3011,4,3,29,3.3,0,1,rural,fair,489054
3920,5,3,6,3.5,1,1,suburban,excellent,683627
2294,4,2,9,26.9,1,1,rural,good,400368
1159,5,2,40,6.6,0,0,rural,fair,157930
3311,5,2,31,10.4,0,1,rural,fair,489951
3502,3,1,33,7.6,0,1,rural,poor,580619
2455,5,2,27,11.3,1,0,rural,poor,401342
2950,2,2,14,3.0,1,0,downtown,good,455934
1869,3,2,29,16.1,1,1,rural,excellent,316142
2486,5,3,36,3.0,1,0,rural,poor,367385
2034,1,3,28,24.2,0,0,downtown,poor,277367
646,2,1,21,7.8,0,1,downtown,fair,119556
3719,2,1,3,16.7,0,0,downtown,poor,560035
3411,2,3,19,26.5,1,0,downtown,poor,481672
2234,3,3,31,19.9,0,1,downtown,poor,346713
2343,5,3,35,16.5,1,1,downtown,poor,373441
988,5,2,49,10.4,1,0,rural,fair,173807
3476,1,2,3,10.7,0,0,rural,good,502193
2459,1,3,26,20.4,0,1,suburban,good,361087
2163,2,2,16,29.8,0,0,rural,excellent,266133
3098,1,2,11,20.2,1,0,rural,poor,470022
2885,3,1,21,17.2,1,0,downtown,fair,447219
3419,5,3,16,22.2,0,1,downtown,excellent,527957
1140,2,3,9,14.5,0,0,rural,excellent,174064
2302,1,2,0,2.7,1,0,suburban,good,346928
3020,3,3,21,17.3,0,1,downtown,fair,465106
2469,3,1,25,28.8,1,0,rural,fair,342245
2698,1,1,17,6.1,1,0,rural,fair,467815
1938,5,1,49,21.0,0,1,suburban,good,264760
3869,1,3,13,6.8,0,1,suburban,good,641133
2134,2,3,46,16.5,0,1,downtown,good,347237
762,1,3,28,3.8,0,1,suburban,good,152912
2287,3,3,11,14.1,1,0,rural,good,400722
2691,1,3,35,22.9,1,0,rural,poor,398792
2893,5,1,34,11.1,1,1,suburban,poor,477333
1123,4,2,11,20.3,0,1,suburban,fair,179487
1516,1,1,6,24.1,1,0,suburban,excellent,229871
1380,5,3,28,27.9,0,1,suburban,fair,233729
2549,5,1,10,7.8,0,0,downtown,excellent,384236
3444,3,3,32,12.6,0,1,suburban,good,514415
1827,5,3,5,5.4,0,0,downtown,excellent,306690
2801,5,1,46,29.8,0,1,rural,fair,383749
952,5,3,14,27.9,0,1,suburban,fair,150529
3608,5,2,31,16.7,1,0,downtown,excellent,579248
1683,2,3,10,25.4,0,1,suburban,poor,243503
3562,2,2,22,16.1,1,0,rural,good,535643
2556,3,2,25,19.1,1,0,rural,good,384860
3804,1,3,33,3.6,0,0,rural,fair,599468
3670,5,1,45,22.9,0,0,suburban,poor,479262
2182,1,2,33,4.7,0,0,suburban,excellent,316865
3363,1,1,28,25.0,1,1,downtown,good,498275
2755,3,2,3,23.7,0,1,rural,poor,439951
1654,5,3,16,21.6,1,0,suburban,good,254261
903,5,3,34,2.0,0,1,rural,poor,152718
2699,4,2,12,9.8,0,0,rural,poor,430044
2601,1,3,40,8.6,1,1,downtown,fair,412242
3691,1,2,38,11.4,1,1,downtown,good,551656
2196,2,3,14,3.5,0,1,downtown,excellent,359713
1127,4,1,28,28.2,1,1,downtown,fair,163559
1086,2,3,28,17.1,1,0,rural,fair,157205
2148,2,1,10,9.9,1,0,downtown,excellent,288288
1943,2,3,31,12.5,1,1,downtown,fair,344091
1945,3,1,1,14.0,1,1,downtown,poor,346947
603,3,3,46,18.4,0,0,downtown,poor,91880
753,2,1,13,16.0,0,1,rural,good,92296
3798,4,2,19,27.7,1,0,downtown,good,555570
3683,1,2,21,15.4,0,0,rural,excellent,536219
3057,4,1,10,29.8,0,0,suburban,good,435925
1996,5,3,26,25.7,1,1,rural,poor,337566
598,3,1,2,7.0,0,0,rural,excellent,83416
2700,1,3,16,28.0,1,1,downtown,excellent,409839
2384,1,2,43,4.4,1,0,suburban,good,381045
3461,5,3,27,24.7,0,1,suburban,poor,559766
2419,5,2,28,12.0,1,1,suburban,excellent,420540
1377,2,3,20,26.5,1,1,suburban,poor,232331
837,3,3,46,26.2,1,0,rural,poor,115026
3369,3,3,15,24.4,1,0,suburban,poor,534259
3734,4,1,36,23.9,1,1,rural,good,572695
1456,2,1,19,9.8,0,1,rural,fair,213878
2204,2,2,5,3.3,0,1,rural,fair,396567
660,2,2,18,12.7,1,0,suburban,excellent,123158
2103,2,1,4,6.0,1,0,downtown,poor,326389
3348,3,2,2,21.2,0,0,downtown,good,480610
897,3,1,0,11.0,1,0,suburban,poor,156481
1800,2,3,37,29.3,0,1,downtown,poor,263563
1315,4,2,14,19.6,1,1,downtown,good,228795
2027,1,2,33,24.9,1,0,rural,fair,286576
2419,1,1,34,4.8,1,0,rural,poor,405049
1915,4,2,48,26.0,1,1,suburban,poor,313280
1658,2,2,24,27.8,1,0,suburban,fair,230712
1718,3,3,23,15.1,1,0,downtown,good,293426
900,1,2,11,18.6,1,0,rural,excellent,109849
1139,5,3,17,23.2,0,0,suburban,fair,176308
3604,5,1,14,6.1,0,0,suburban,excellent,593386
3235,4,2,43,15.6,0,0,suburban,excellent,472789
959,2,3,15,12.6,1,1,suburban,fair,166197
1454,1,1,26,5.2,1,0,suburban,poor,214858
969,2,2,7,11.7,1,0,suburban,excellent,139057
3946,1,1,45,3.0,1,1,downtown,excellent,604704
1545,4,2,24,1.7,1,1,rural,good,284739
3297,4,1,16,4.9,1,1,rural,poor,514838
2193,5,1,28,28.9,1,0,suburban,excellent,311062
2585,2,3,7,16.9,0,1,rural,good,423895
2777,5,1,14,29.0,1,0,rural,poor,384194
3936,2,2,26,13.5,0,0,rural,fair,611985
1062,5,2,45,10.0,0,0,suburban,fair,177015
2985,3,3,49,15.7,1,1,suburban,good,496261
2299,3,2,6,13.7,1,1,rural,fair,368493
3854,3,2,2,4.1,0,1,rural,excellent,637390
2574,3,2,28,19.6,0,1,suburban,poor,367661
725,1,1,43,7.3,1,1,downtown,excellent,147054
3848,3,1,23,19.0,1,0,rural,excellent,573736
1297,4,2,2,19.9,0,0,downtown,fair,201215
2831,4,3,19,5.4,1,0,rural,excellent,443638
3426,1,1,45,2.8,1,0,downtown,fair,504898
1459,3,3,14,23.6,1,1,downtown,poor,253394
2004,3,2,24,14.3,0,1,downtown,poor,296833
952,3,2,29,2.7,0,0,suburban,excellent,168964
3567,5,1,13,29.9,0,1,downtown,good,497007
1315,2,2,6,2.7,1,1,downtown,fair,268013
1158,5,1,16,21.2,1,0,downtown,fair,149849
1046,2,2,43,29.5,0,0,rural,excellent,122045
1715,3,2,19,7.9,0,1,downtown,fair,299262
3620,3,1,35,5.1,0,1,rural,fair,551364
516,5,1,8,4.5,1,0,downtown,good,125640
3743,5,1,37,9.8,0,0,downtown,good,568958
1743,2,2,47,3.9,0,0,suburban,excellent,254773
2705,4,2,21,21.1,1,1,rural,good,408078
3024,2,3,1,2.8,1,0,downtown,excellent,457447
1569,5,1,23,15.8,1,0,rural,poor,251843
3944,5,2,7,29.9,0,1,rural,excellent,559403
3065,1,2,10,24.6,1,1,suburban,poor,465456
2646,5,1,12,18.8,1,1,suburban,excellent,418431
2268,1,3,16,9.9,0,1,suburban,fair,378182
1560,4,1,7,19.1,1,1,suburban,good,250659
2827,2,3,20,16.3,0,0,suburban,poor,412861
3920,2,2,17,13.4,0,0,suburban,excellent,596737
3044,1,3,29,4.8,1,1,suburban,good,509001
801,2,2,17,26.7,1,1,suburban,excellent,128973
680,5,1,45,14.0,1,1,downtown,good,137885
1106,3,1,46,6.6,1,1,rural,good,166188
3670,1,1,30,11.7,1,1,suburban,excellent,581235
1199,2,3,37,13.0,1,0,suburban,poor,203999
1492,1,2,31,25.0,0,0,rural,poor,165166
1639,1,1,10,22.3,0,0,downtown,fair,206368
690,3,1,44,23.3,1,0,rural,good,80913
2800,5,2,24,1.3,0,1,rural,fair,468510
1480,1,1,32,13.1,1,0,suburban,fair,220877
3475,2,2,37,15.0,0,1,rural,excellent,554777
2506,4,2,40,1.6,0,1,rural,excellent,438335
1684,1,2,7,8.5,0,1,suburban,excellent,248255
3827,1,2,10,23.0,1,0,suburban,good,573491
3894,3,2,21,5.0,0,1,suburban,excellent,645378
627,5,3,23,16.5,1,0,suburban,excellent,125886
2565,4,1,40,7.2,0,0,rural,good,408169
2316,2,3,16,1.4,0,1,rural,good,434045
2258,4,1,11,8.0,0,1,downtown,poor,387874
3113,2,3,45,29.3,0,1,downtown,excellent,453836
1069,5,2,31,24.2,0,0,rural,excellent,164551
1846,2,1,14,28.8,1,1,downtown,excellent,270997
2395,3,1,15,15.1,1,0,rural,poor,363028
3233,3,3,21,4.2,0,1,downtown,excellent,522221
1125,3,3,27,16.9,0,1,suburban,poor,217118
3859,3,1,19,14.2,0,0,downtown,fair,551381
3401,4,3,32,25.5,0,0,suburban,poor,524197
2186,5,3,9,3.8,1,0,suburban,fair,391597
3509,2,3,39,15.2,0,0,suburban,excellent,490263
654,2,2,31,5.4,1,0,suburban,fair,126352
3037,3,2,49,10.4,0,0,downtown,poor,409049
1909,3,3,32,22.4,1,1,rural,good,318460
1284,1,3,1,14.8,0,1,suburban,fair,229404
3675,5,2,32,11.9,0,0,downtown,fair,547002
3964,4,2,32,12.4,1,1,suburban,excellent,633670
745,2,1,40,14.3,0,0,downtown,poor,128233
3747,1,1,12,23.8,0,1,downtown,fair,533735
3610,1,2,29,26.9,0,1,downtown,fair,498821
2000,2,3,32,28.7,1,0,rural,fair,311633
2205,4,3,12,23.8,0,0,downtown,fair,362801
3306,1,3,25,10.1,0,0,downtown,good,497273
1037,1,3,21,21.0,1,1,rural,poor,191479
2390,5,1,38,13.7,1,0,rural,excellent,394529
2341,4,2,1,8.4,1,1,downtown,excellent,390200
1420,1,3,37,25.4,0,0,rural,good,170393
2955,4,1,38,2.1,0,1,suburban,poor,500267
1024,2,3,25,27.2,0,1,suburban,fair,179400
3375,3,2,45,14.4,1,0,rural,good,521207
2029,1,1,49,19.5,0,1,rural,poor,266053
3450,5,2,14,20.1,0,1,downtown,fair,573841
535,2,2,33,27.0,1,0,rural,good,46730
1184,4,1,41,19.5,1,1,downtown,poor,182597
519,2,1,43,18.8,1,0,suburban,excellent,67196
2868,1,1,48,2.9,1,0,rural,excellent,469083
3059,4,1,39,16.0,1,0,downtown,poor,475229
899,3,1,10,5.4,0,0,downtown,excellent,152347
3201,2,1,2,22.4,1,1,suburban,poor,497015
1471,1,1,5,15.9,0,1,rural,fair,221220
2406,5,3,8,20.7,0,1,suburban,poor,397262
3018,4,2,5,2.2,1,0,downtown,fair,447208
1666,2,1,8,3.5,1,1,downtown,good,287567
1615,2,3,38,21.8,1,1,rural,poor,261076
3925,3,3,30,3.1,0,0,downtown,good,589529
1333,3,3,31,3.1,1,0,rural,excellent,246176
2323,5,2,40,1.4,1,1,suburban,fair,405560
3274,5,1,49,28.7,1,0,rural,poor,502109
2482,1,3,11,22.4,1,0,rural,good,399660
1353,1,2,7,11.2,1,0,downtown,fair,205133
550,5,2,7,9.6,0,0,downtown,fair,99183
1074,5,2,49,11.1,0,1,rural,excellent,183721
3761,4,3,27,23.5,0,0,downtown,excellent,544016
1648,3,1,19,20.2,1,0,downtown,fair,243000
2697,1,3,46,6.4,1,0,downtown,fair,406784
2861,3,3,6,6.0,1,0,rural,poor,446737
3117,3,1,10,3.9,0,0,downtown,fair,492204
3913,5,1,19,20.1,1,0,rural,poor,601640
2852,4,1,15,23.2,1,0,downtown,fair,403813
