tenure_months,monthly_charges,total_charges,num_products,has_support_plan,num_complaints,contract_type,payment_method,age_group,churn
64,77.21,3572.55,4,0,2,monthly,credit_card,senior,0
5,38.08,4132.64,3,0,9,two_year,bank_transfer,young,1
53,46.88,2144.46,3,0,9,two_year,e_wallet,senior,0
55,39.86,2600.01,3,0,8,yearly,e_wallet,young,1
37,44.69,787.04,1,0,3,yearly,bank_transfer,young,0
56,50.64,2495.44,2,1,6,monthly,credit_card,senior,0
59,75.51,7735.81,4,1,8,two_year,bank_transfer,middle,0
69,78.8,7563.19,1,0,1,two_year,credit_card,young,0
59,62.65,2745.54,3,1,1,monthly,credit_card,young,0
2,81.54,4609.75,3,0,8,monthly,e_wallet,senior,0
65,28.16,7285.8,2,0,2,monthly,bank_transfer,middle,0
60,28.78,148.85,3,0,8,yearly,e_wallet,middle,1
51,37.18,6504.4,1,0,4,monthly,bank_transfer,senior,0
30,71.81,7592.12,1,1,5,monthly,bank_transfer,middle,0
11,41.4,821.47,2,1,1,two_year,e_wallet,senior,1
39,48.33,1375.44,1,1,7,monthly,bank_transfer,senior,1
63,60.03,7689.9,4,1,8,two_year,bank_transfer,senior,0
64,101.19,4346.57,1,0,1,two_year,credit_card,young,0
61,21.39,212.15,1,1,5,yearly,bank_transfer,young,1
54,84.94,2135.29,1,0,5,monthly,bank_transfer,young,0
58,86.89,3654.56,4,0,7,monthly,e_wallet,senior,1
56,99.87,5573.98,3,1,9,two_year,e_wallet,young,1
34,113.28,5891.97,1,0,4,yearly,bank_transfer,young,1
31,22.01,7963.83,2,1,8,yearly,credit_card,young,0
52,35.38,2371.34,4,1,0,monthly,credit_card,senior,0
1,108.62,4351.94,2,1,8,two_year,e_wallet,senior,1
55,65.85,4313.26,1,1,9,monthly,bank_transfer,senior,1
22,76.46,3304.6,2,1,6,monthly,bank_transfer,young,1
40,86.3,1436.38,1,0,3,monthly,credit_card,middle,0
1,87.91,7821.91,4,1,2,monthly,credit_card,young,1
65,113.17,6841.21,2,1,9,two_year,credit_card,young,0
63,119.69,4036.83,2,0,5,yearly,e_wallet,senior,0
54,92.02,4865.64,1,1,0,monthly,bank_transfer,senior,0
42,48.72,1895.36,1,1,2,monthly,e_wallet,young,0
21,107.98,4395.92,3,0,1,monthly,bank_transfer,young,1
22,24.92,5590.26,1,0,8,monthly,e_wallet,middle,0
38,43.11,4169.82,1,1,2,yearly,bank_transfer,middle,0
8,109.74,7923.25,3,0,1,yearly,credit_card,senior,0
62,45.62,4929.6,1,1,3,yearly,credit_card,middle,0
47,42.07,3030.69,1,0,1,yearly,credit_card,middle,0
17,33.81,6200.0,3,1,0,monthly,e_wallet,senior,0
17,105.91,1446.65,4,1,5,two_year,credit_card,middle,0
13,70.01,3137.67,4,1,9,yearly,bank_transfer,young,1
17,87.49,2840.98,1,0,7,yearly,e_wallet,middle,1
38,43.91,3511.28,1,1,9,monthly,bank_transfer,senior,1
45,95.8,6276.06,3,0,9,monthly,e_wallet,young,1
6,96.0,3924.97,3,1,1,monthly,bank_transfer,middle,1
35,51.26,6372.71,4,1,8,monthly,bank_transfer,young,1
14,61.07,4654.26,2,1,2,two_year,e_wallet,young,0
61,40.97,2802.35,1,1,7,two_year,e_wallet,middle,1
15,117.66,6498.83,2,1,7,yearly,credit_card,middle,1
54,84.56,1982.49,2,0,2,two_year,credit_card,senior,0
27,113.45,1872.63,3,0,2,yearly,bank_transfer,senior,1
13,50.34,4085.57,1,0,5,yearly,bank_transfer,young,0
31,98.19,2160.71,1,1,0,two_year,bank_transfer,senior,0
35,96.59,171.79,3,1,3,yearly,e_wallet,young,1
60,89.17,5221.55,2,0,0,monthly,e_wallet,young,0
6,116.56,4137.64,3,1,2,yearly,credit_card,senior,1
69,59.36,3619.59,4,1,8,monthly,bank_transfer,senior,0
58,33.07,7739.05,1,1,4,two_year,credit_card,senior,0
49,87.17,4612.47,4,0,4,two_year,e_wallet,middle,1
23,92.93,6921.11,3,0,3,yearly,e_wallet,young,1
34,77.51,1201.66,1,0,2,monthly,e_wallet,young,0
26,40.68,4596.73,4,0,4,yearly,credit_card,young,1
47,70.45,6957.04,4,0,3,two_year,e_wallet,senior,0
5,51.22,4706.54,2,1,7,yearly,bank_transfer,senior,0
20,62.75,5772.31,1,1,3,yearly,credit_card,senior,0
6,84.52,3039.14,4,1,7,monthly,e_wallet,senior,1
70,94.52,830.35,4,1,5,two_year,credit_card,senior,0
59,43.22,3717.41,2,0,4,yearly,credit_card,middle,0
64,60.53,3216.39,4,0,3,monthly,e_wallet,senior,1
18,46.92,6949.78,4,1,3,yearly,e_wallet,young,0
4,39.86,2027.56,4,0,3,monthly,credit_card,senior,0
17,98.34,7737.2,2,1,8,monthly,credit_card,young,1
14,110.93,7669.29,4,1,3,yearly,e_wallet,senior,0
13,57.02,2056.29,4,1,8,two_year,bank_transfer,senior,1
7,95.13,2849.61,1,1,9,two_year,credit_card,young,1
44,109.7,7174.89,1,0,5,monthly,credit_card,young,0
15,104.61,7736.32,2,1,9,two_year,bank_transfer,young,1
19,38.28,3603.17,3,0,6,monthly,e_wallet,young,1
63,115.63,2635.88,1,1,9,two_year,e_wallet,middle,1
35,57.67,4256.14,2,1,2,yearly,bank_transfer,young,0
35,53.92,5533.38,4,1,7,two_year,e_wallet,senior,0
19,26.24,2260.45,4,1,2,monthly,e_wallet,senior,0
20,68.62,5918.14,2,0,0,monthly,credit_card,middle,0
35,30.9,508.09,4,1,9,two_year,credit_card,young,1
32,44.85,489.43,4,0,4,yearly,credit_card,senior,1
48,51.69,3151.67,3,1,1,monthly,bank_transfer,middle,0
44,100.88,2892.44,4,1,9,monthly,e_wallet,senior,0
24,107.55,2593.5,1,1,5,monthly,e_wallet,middle,1
61,50.25,3979.06,4,0,9,monthly,credit_card,middle,1
17,105.87,2633.8,2,1,8,monthly,credit_card,young,0
71,105.72,1618.84,3,1,0,yearly,bank_transfer,middle,0
50,96.47,2544.81,4,1,3,two_year,e_wallet,senior,0
65,34.67,7801.74,2,1,0,yearly,bank_transfer,senior,0
32,89.03,3347.8,1,1,0,yearly,e_wallet,young,0
36,114.5,3613.23,4,0,7,monthly,bank_transfer,young,0
13,88.25,4654.71,3,0,1,yearly,credit_card,middle,0
70,53.16,7868.39,4,1,0,monthly,bank_transfer,young,0
58,70.06,2008.65,2,1,7,yearly,bank_transfer,senior,0
14,84.57,5482.13,3,0,3,monthly,credit_card,senior,0
37,71.06,5756.28,4,1,2,monthly,e_wallet,young,0
68,32.0,4897.86,1,0,3,yearly,e_wallet,young,0
40,51.21,799.77,3,1,4,yearly,credit_card,young,0
59,100.24,5447.29,1,1,0,two_year,bank_transfer,middle,0
16,106.14,606.35,2,0,0,two_year,bank_transfer,middle,0
62,33.73,4809.53,4,1,2,two_year,bank_transfer,senior,0
4,115.24,5942.69,1,0,5,yearly,e_wallet,middle,0
45,52.88,1766.66,2,0,0,yearly,bank_transfer,middle,0
28,86.23,6748.81,4,0,1,monthly,e_wallet,middle,0
66,95.18,339.8,2,1,6,two_year,bank_transfer,middle,0
31,101.19,6766.12,1,0,0,monthly,credit_card,senior,0
3,114.57,3736.6,2,0,6,monthly,credit_card,young,1
8,51.29,1818.94,3,1,3,monthly,e_wallet,senior,1
24,105.85,1156.85,4,1,9,monthly,e_wallet,middle,1
15,33.17,7631.13,2,1,5,two_year,credit_card,young,1
43,90.5,674.06,1,1,7,monthly,credit_card,young,1
31,94.2,1672.84,4,1,8,yearly,bank_transfer,young,0
45,87.77,2847.8,3,1,5,yearly,credit_card,senior,1
66,45.23,4999.86,4,0,8,yearly,e_wallet,young,1
8,107.3,4403.93,3,1,3,two_year,credit_card,senior,1
71,36.89,1092.58,4,0,5,monthly,e_wallet,senior,1
57,25.36,2388.85,2,1,7,two_year,e_wallet,middle,0
30,91.75,1986.14,2,0,8,monthly,bank_transfer,middle,1
18,67.55,1786.99,1,0,2,two_year,bank_transfer,young,0
69,104.91,3348.04,3,1,1,two_year,bank_transfer,young,0
39,58.34,5661.85,1,1,5,monthly,bank_transfer,middle,1
60,36.83,1817.88,2,0,3,two_year,credit_card,senior,0
43,103.64,2996.76,3,1,0,monthly,bank_transfer,senior,0
45,74.89,3188.25,1,1,7,yearly,credit_card,middle,0
23,38.92,7814.01,1,0,8,yearly,bank_transfer,senior,0
69,92.04,7641.86,1,0,8,yearly,bank_transfer,middle,0
6,71.11,6421.09,1,0,1,two_year,e_wallet,middle,0
56,80.43,2009.11,1,1,8,yearly,credit_card,young,0
4,66.09,637.49,3,1,6,monthly,e_wallet,young,0
23,102.87,2603.54,1,1,4,yearly,bank_transfer,middle,0
6,102.96,2207.68,3,1,6,yearly,credit_card,young,1
32,90.94,4096.81,1,0,8,two_year,bank_transfer,middle,0
18,30.54,6244.05,2,1,7,monthly,e_wallet,senior,1
15,103.89,6880.75,2,0,5,two_year,credit_card,senior,0
40,87.1,6774.43,1,1,3,two_year,e_wallet,senior,0
6,89.7,2941.44,4,1,0,monthly,bank_transfer,senior,1
63,56.3,5529.15,2,0,5,two_year,bank_transfer,middle,0
67,107.93,2571.39,3,1,2,monthly,bank_transfer,senior,0
11,92.54,581.15,1,1,5,yearly,credit_card,senior,1
43,31.26,5642.37,3,0,5,monthly,e_wallet,senior,0
17,60.78,177.64,4,1,3,monthly,e_wallet,senior,1
4,108.64,3332.54,1,0,1,monthly,bank_transfer,middle,1
63,24.72,2702.1,2,0,8,two_year,e_wallet,senior,0
68,116.14,5577.68,3,0,1,monthly,credit_card,young,0
